model,label,status,steps,by25,last,step25,reason
"microKanren-rail","appendo","terminated",31,false,"core/conj-prune-fail","disj/collect-left-answer",""
"microKanren-rail","appendoh 1","terminated",31,false,"core/conj-prune-fail","disj/collect-left-answer",""
"microKanren-rail","appendoh 2","cap",400,false,"call/delay-through-conj","core/unify-success","reached hard cap 400"
"microKanren-rail","fives/fours","terminated",21,true,"core/unify-success","",""
"microKanren-rail","call timing","terminated",6,true,"core/collect-answer","",""
"microKanren-rail","same","terminated",27,false,"core/collect-answer","call/lazy-expand-on-resume",""
"microKanren-rail","div3o","cap",400,false,"rail/enter-right","disj/goal-to-tree","reached hard cap 400"
"microKanren-noi-flip","appendo","terminated",31,false,"core/conj-prune-fail","disj/collect-left-answer",""
"microKanren-noi-flip","appendoh 1","terminated",31,false,"core/conj-prune-fail","disj/collect-left-answer",""
"microKanren-noi-flip","appendoh 2","terminated",16,true,"call/delay-through-conj","",""
"microKanren-noi-flip","fives/fours","terminated",3,true,"call/lazy-suspend-call","",""
"microKanren-noi-flip","call timing","terminated",6,true,"core/collect-answer","",""
"microKanren-noi-flip","same","terminated",4,true,"call/lazy-suspend-call","",""
"microKanren-noi-flip","div3o","terminated",22,true,"call/lazy-suspend-call","",""
"microKanren-dfs-nodelay","appendo","incompatible",0,false,"","","reduction-relation: not in domain
  term: (((r:appendo (x:l x:s x:out) (((x:l =? empty (label ""u8"")) ∧ (x:s =? x:out (label ""u9"")) (label ""c7"")) ∨ (∃ (x:a x:d x:res) (((x:l =? (x:a : x:d) (label ""u4"")) ∧ (x:out =? (x:a : x:res) (label ""u5"")) (label ""c3"")) ∧ (r:appendo x:d x:s x:res (label ""r6"")) (label ""c2"")) (label ""f1"")) (label ""d0"")))) () ((∃ (x:q) (r:appendo ((sym ""minikanren"") : empty) ((sym ""visualizer"") : empty) x:q (label ""r11"")) (label ""f10"")) (state () () () (label ""s""))))"
